Date,Price,Open,High,Low,Vol.,Change %
6-Sep-19,1549.20,1551.00,1559.90,1539.20,0.06K,-0.62%
5-Sep-19,1558.80,1579.50,1584.10,1544.90,0.10K,-2.17%
4-Sep-19,1593.30,1582.70,1590.70,1572.00,0.03K,0.26%
3-Sep-19,1589.10,1562.80,1583.90,1561.20,0.24K,3.51%
2-Sep-19,1535.15,1537.95,1540.05,1528.15,-,-0.19%
1-Sep-19,1538.05,1535.25,1542.90,1535.25,-,-1.60%
30-Aug-19,1563.10,1564.10,1566.90,1555.00,0.45K,-0.43%
29-Aug-19,1569.90,1571.90,1578.80,1562.00,0.25K,-0.71%
28-Aug-19,1581.20,1572.30,1578.00,1571.60,0.24K,-0.21%
27-Aug-19,1584.50,1566.20,1579.30,1564.60,0.17K,0.94%
26-Aug-19,1569.80,1584.50,1584.50,1563.20,0.07K,-0.03%
23-Aug-19,1570.20,1539.00,1563.50,1537.30,0.26K,1.89%
22-Aug-19,1541.10,1534.30,1538.80,1530.50,0.25K,-0.46%
21-Aug-19,1548.20,1532.70,1540.60,1532.70,0.56K,0.01%
20-Aug-19,1548.00,1530.20,1540.70,1530.20,0.17K,0.26%
19-Aug-19,1544.00,1543.90,1543.90,1531.00,0.35K,-0.78%
16-Aug-19,1556.20,1557.40,1557.70,1541.30,0.16K,-0.48%
15-Aug-19,1563.70,1553.00,1561.20,1546.00,0.29K,0.17%
14-Aug-19,1561.00,1538.50,1553.10,1532.60,0.24K,0.86%
13-Aug-19,1547.70,1556.20,1571.70,1523.10,0.07K,-0.15%
12-Aug-19,1550.00,1536.00,1550.10,1526.40,0.16K,0.55%
9-Aug-19,1541.50,1542.80,1543.80,1535.00,0.09K,-0.03%
8-Aug-19,1542.00,1533.00,1542.10,1532.60,0.06K,-0.62%
7-Aug-19,1551.60,1510.60,1547.70,1510.60,0.11K,2.30%
6-Aug-19,1516.70,1507.20,1511.10,1498.60,0.14K,0.47%
5-Aug-19,1509.60,1487.40,1505.00,1487.40,0.07K,1.16%
2-Aug-19,1492.30,1476.20,1476.20,1476.20,0.08K,1.62%
1-Aug-19,1468.50,1450.80,1485.60,1443.30,0.15K,-0.33%
31-Jul-19,1473.30,1460.50,1469.60,1452.90,0.13K,-0.27%
30-Jul-19,1477.30,1469.00,1472.40,1469.00,0.02K,0.60%
29-Jul-19,1468.50,1461.70,1461.70,1461.70,1.05K,0.09%
26-Jul-19,1467.20,1460.40,1460.40,1460.40,0.56K,0.41%
25-Jul-19,1461.20,1465.10,1468.00,1456.10,0.81K,-0.58%
24-Jul-19,1469.70,1467.20,1467.20,1467.20,0.04K,0.14%
23-Jul-19,1467.60,1458.60,1459.60,1458.60,0.25K,-0.35%
22-Jul-19,1472.80,1466.00,1466.00,1466.00,0.61K,0.03%
19-Jul-19,1472.30,1483.30,1487.40,1461.50,0.02K,-0.12%
18-Jul-19,1474.00,1464.40,1488.50,1459.40,0.02K,0.32%
17-Jul-19,1469.30,1455.00,1467.30,1455.00,0.02K,0.87%
16-Jul-19,1456.60,1453.40,1453.40,1453.40,0.02K,-0.12%
15-Jul-19,1458.40,1452.30,1452.30,1452.30,0.99K,0.10%
12-Jul-19,1457.00,1450.90,1450.90,1450.90,0.05K,0.39%
